Date,Open
2016/1/4,2038.199951
2016/1/5,2013.780029
2016/1/6,2011.709961
2016/1/7,1985.319946
2016/1/8,1945.969971
2016/1/11,1926.119995
2016/1/12,1927.829956
2016/1/13,1940.339966
2016/1/14,1891.680054
2016/1/15,1916.680054
2016/1/19,1888.660034
2016/1/20,1876.180054
2016/1/21,1861.459961
2016/1/22,1877.400024
2016/1/25,1906.280029
2016/1/26,1878.790039
2016/1/27,1902.52002
2016/1/28,1885.219971
2016/1/29,1894
2016/2/1,1936.939941
2016/2/2,1935.26001
2016/2/3,1907.069946
2016/2/4,1911.670044
2016/2/5,1913.069946
2016/2/8,1873.25
2016/2/9,1848.459961
2016/2/10,1857.099976
2016/2/11,1847
2016/2/12,1833.400024
2016/2/16,1871.439941
2016/2/17,1898.800049
2016/2/18,1927.569946
2016/2/19,1916.73999
2016/2/22,1924.439941
2016/2/23,1942.380005
2016/2/24,1917.560059
2016/2/25,1931.869995
2016/2/26,1954.949951
2016/2/29,1947.130005
2016/3/1,1937.089966
2016/3/2,1976.599976
2016/3/3,1985.599976
2016/3/4,1994.01001
2016/3/7,1996.109985
2016/3/8,1996.880005
2016/3/9,1981.439941
2016/3/10,1990.969971
2016/3/11,1994.709961
2016/3/14,2019.27002
2016/3/15,2015.27002
2016/3/16,2014.23999
2016/3/17,2026.900024
2016/3/18,2041.160034
2016/3/21,2047.880005
2016/3/22,2048.639893
2016/3/23,2048.550049
2016/3/24,2032.47998
2016/3/28,2037.890015
2016/3/29,2035.75
2016/3/30,2058.27002
2016/3/31,2063.77002
2016/4/1,2056.620117
2016/4/4,2073.189941
2016/4/5,2062.5
2016/4/6,2045.560059
2016/4/7,2063.01001
2016/4/8,2045.540039
2016/4/11,2050.22998
2016/4/12,2043.719971
2016/4/13,2065.919922
2016/4/14,2082.889893
2016/4/15,2083.100098
2016/4/18,2078.830078
2016/4/19,2096.050049
2016/4/20,2101.52002
2016/4/21,2102.090088
2016/4/22,2091.48999
2016/4/25,2089.370117
2016/4/26,2089.840088
2016/4/27,2092.330078
2016/4/28,2090.929932
2016/4/29,2071.820068
2016/5/2,2067.169922
2016/5/3,2077.179932
2016/5/4,2060.300049
2016/5/5,2052.949951
